title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4127,To You Who Don't Love Me,ROMANTIC_FANTASY,"Yeonseo,Bbada,Han Seol On",SATURDAY,23,97003,8.44,1424541,104518,ONGOING,False,"Siapa sangka, di hari Rose ditumbalkan kepada Leviathan oleh warga desa, Rose malah diselamatkan oleh Mihael. Sejak saat itu, Rose menganggap Mihael adalah segalanya. Rose akan melakukan apa pun untuk Mihael karena Rose mencintainya. Tapi, apakah Mihael juga mencintainya? Atau hanya menginginkan Rose karena kekuatan yang dimilikinya..."
4126,Maybe Meant to Be,ROMANCE,"honeyskein,damcho",FRIDAY,23,297894,9.83,7381490,833871,ONGOING,False,"Sudah berapa tahun kamu tinggal di rumah orang tua?
Han Jiah (pengangguran) yang tahun ini berusia 32 tahun, hari ini juga menderita karena masih belum menikah dan bekerja.

Tiba-tiba Jim Minchul, sahabat kecil Jiah muncul dan mereka memutuskan untuk menikah!?? Ternyata mereka berdua malah lebih cocok dari yang diperkirakan?!"
4125,Dear Nemesis,ROMANTIC_FANTASY,"Velma,ohsso,Minato",THURSDAY,23,110906,9.67,1888916,208640,ONGOING,False,"Kalmia yang sudah besar, berhasil menjadi suksesor keluarganya dan menjadi Count serta ngelahkan musuh bebuyutannya. Tapi tiba-tiba dia kembali ke masa lalu, semua yang dia bangun kembali jadi nol, dan yang lebih parahnya.. musuh bebuyutannya di masa depan justru mau jadi tunangannya?!"
4124,DjINN,COMEDY,"Aland B.,DRD","WEDNESDAY,FRIDAY",40,65454,9.77,2395124,307658,ONGOING,False,"Awalnya Tomy diberitahukan bahwa dapat warisan besar, ternyata warisannya adalah hotel yang pelanggannya hantu semua?!?!?!
Sekarang Tomy malah harus kerja jadi pegawai di hotel ini?!"
4123,Caravan 97,THRILLER,Mada_Fadaz,MONDAY,19,48994,9.78,540072,76090,HIATUS,False,"Nova dan Vidia, dua bersaudara yang tergabung di kru Karavan 97 bertanggung jawab membangun kembali peradaban manusia dari dalam perbatasan, namun kecelakaan teknis membuat mereka harus pergi ke Dunia Luar untuk pertama kali.

Dihantui oleh misteri dunia dan trauma masa lalu, dua kembar harus berjuang bersama melewati kelam dan suramnya kehidupan akhir zaman."
4122,Stay With Me,SLICE_OF_LIFE,Merow,"WEDNESDAY,SUNDAY",45,105010,9.55,3069900,305997,ONGOING,False,"Arfa memutuskan menikah dengan sahabatnya,Neyna, sahabatnya sendiri.Ternyata kehidupan mereka berubah setelah menikah. Bagaimana mereka melalui hari-hari sebagai pasangan suami-istri?   "
4121,Ketupat,SLICE_OF_LIFE,Various Artists,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",30,190570,9.82,6455597,962633,COMPLETED,False,Kompilasi yang ditunggu dan paling hangat di bulan Ramadan! 
4039,Unseen Beauty,DRAMA,"Benvenutoiven,Get up production",THURSDAY,24,141467,9.78,3200363,376708,ONGOING,False,"Nathalie dan Ayudia, kembar dengan sifat yang bertolak belakang dan mimpi yang berbeda. Namun, Nathalie terpaksa harus merelakan mimpinya ketika hal buruk menimpa Ayudia yang bekerja sebagai model di agensi ternama. Nathalie yang tomboy memutuskan untuk terjun ke dalam industri modeling demi membalas perbuatan orang yang sudah menyakiti saudarinya!"
4038,I Got Pregnant with the Tyrant's Child,ROMANTIC_FANTASY,"Ryuran,SF_JD",MONDAY,25,161330,9.32,4729126,419598,ONGOING,False,"Di malam paling meriah yang diadakan setahun sekali, 
Elan membuka matanya dan menemukan bahwa Kailat, seorang kaisar yang dikenal karena kekejamannya, sedang tidur di sebelahnya. Tanpa berpikir panjang, Elan melarikan diri dengan terburu-buru.

Tetapi...

""Saya hamil.""

Akhirnya Elan mempunyai anak secara tidak sengaja karena kejadian di malam tersebut.

Mengetahui bahwa kaisar membenci wanita yang mendekatinya, Elan memutuskan untuk menyembunyikan kehamilannya. Namun, Kailat terus mendekati Elan.

Apakah Elan dapat melarikan diri dari Kailat dengan selamat? Bagaimana dengan Anak-anak Elan? "
4037,Complicated Cohabitation,ROMANCE,"Hwang Han-Young,Arum",FRIDAY,10,127463,9.0,4867468,352019,ONGOING,True,"Seo Yugyeong terpaksa tinggal dengan cowok bernama Ijun yang merupakan teman adiknya. Awalnya dia keberatan, tapi Ijun ternyata jago mengurus rumah. Di sisi lain, Yugyeong sedang galau karena pacarnya tiba-tiba jadi dingin dan menjaga jarak. Keadaan jadi tambah rumit ketika Ijun yang dianggapnya adik sendiri sepertinya punya rasa padanya."
